Timestamp,Age:,Gender:,Designation:,Education:,Experience with current organization (in years):,I feel like our organization is like a family where everyone shares openly.,"I see our leaders as supportive, always helping us grow.","In my view, teamwork is key in our decision-making; everyone gets the opportunity to contribute.",I notice that helping each other develop is important here.,I believe our success is measured by how well we work together and support one another.,I see our organization as a place where taking risks and trying new things is encouraged.,I think our leaders push us to be innovative and take initiative.,I believe our management style supports freedom and being different.,I think our commitment to being cutting-edge brings us together.,I feel we define success by how often we introduce new and unique products.,I see our organization as very focused on results and getting things done.,I view our leaders as direct and focused on efficient results.,"From my perspective, our management emphasizes being competitive and achieving a lot.",I believe our drive to meet goals is what unites us.,I feel that winning in the market and outperforming others are our main goals.,I see our organization as very structured and controlled by formal rules.,"In my view, our leaders are great at keeping everything running smoothly.","From my perspective, our management style is about stability and predictable work.",I believe that strict rules and policies keep our organization running well.,I feel that our success is defined by how efficiently we work and keep costs down.,I managed to plan my work so that I finished it on time.,I kept in mind the work result I needed to achieve.,I was able to set priorities.,I was able to carry out my work efficiently.,I managed my time well.,"On my own initiative, I started new tasks when my old tasks were completed.",I took on challenging tasks when they were available.,Community and Collaboration,Innovation and Agility,Competitive Drive,Structure and Control,Task Performance
7/11/2024 21:46,69,Male,Reginal Manager(South),Chemical Engineering BE,9,3,3,2,2,2,2,3,2,2,2,3,3,3,3,4,2,3,3,2,3,3,3,3,3,3,3,3,2.4,2.2,3.2,2.6,2.909090909
7/11/2024 21:56,30,Male,Asst Accounts Manager,Masters,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,1,5,5,5,5,5,4.8,5,4.272727273
7/11/2024 22:01,41,Male,Regional Manager ,Masters,3,3,3,4,2,4,4,4,5,4,4,3,4,4,5,5,4,4,2,3,4,4,4,4,4,2,4,4,3.2,4.2,4.2,3.4,3.545454545
8/11/2024 1:07,37,Male,Manager,Bachelors,17,4,5,5,1,4,5,4,3,4,4,4,5,5,4,3,4,5,4,1,5,5,5,5,5,2,5,5,3.8,4,4.2,3.8,4.272727273
8/11/2024 9:25,24.5,Male,sales and service engineer,Bachelors,2,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,1,4,5,5,5,5,5,5,5,5,5,5,5,5,3.6,4,4.909090909
8/11/2024 9:25,29,Male,Sr. Sales & Service Engineer ,Masters,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,3,4,4,5,5,5,5,4.454545455
8/11/2024 9:30,50,Male,General Manager operations,Masters,22,4,4,4,4,4,3,3,3,5,4,5,5,5,4,5,4,4,4,5,5,4,4,4,4,4,5,5,4,3.6,4.8,4.4,4.363636364
8/11/2024 9:36,32,Male,Services engineer ,Bachelors,2,5,2,3,5,4,4,1,5,3,5,5,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,3.8,3.6,4.8,4.6,4.818181818
8/11/2024 9:38,26,Male,Application Executive ,Bachelors,2.5,4,5,5,3,4,3,3,4,4,5,5,5,3,5,5,3,5,5,5,5,5,5,5,5,5,3,4,4.2,3.8,4.6,4.6,4.727272727
8/11/2024 10:21,27,Male,Assistant Manager,Bachelors,0.5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4.2,5,5,5,4.909090909
